k,bic,aic
2,3706502.908414302,3705914.627772022
3,3572563.3584702485,3571676.1155343507
4,3416869.686272256,3415683.481042741
5,3304683.5374087184,3303198.3698855853
6,3214167.436675281,3212383.3068585303
7,3147076.0680806823,3144992.975970314
8,3123064.6433052025,3120682.5889012166
9,3056366.1655086554,3053685.1488110516
10,3007891.8615087005,3004911.8825174794
11,2958463.388407236,2955184.447122397
12,2938636.741835192,2935058.8382567354
13,2910466.903156068,2906590.0372839943
14,2886355.070983596,2882179.2428179043
15,2212811.89591853,2208337.1054592207
