k,inertia,silhouette
2,1399918.0715265241,0.1733669540178923
3,1261747.3551653228,0.1209138545791151
4,1196509.6826749044,0.11254334654327158
5,1141111.2883119327,0.10712418209121952
6,1086305.5526884585,0.1126452931000264
7,1039764.9943650812,0.10725202887073926
8,1021183.7381799899,0.09330156297579495
9,970244.4758971827,0.10477540978095708
10,939499.2561131015,0.10730497311582249
11,908029.542135201,0.10375017249556859
12,889685.8516541333,0.10113037371889108
13,869923.9126995124,0.10409870126184945
14,857749.3256276088,0.10144411414741926
15,844266.5269756968,0.10209450033268745
